"Resultado;Nombrede la medida;Fecha;Hora;Límite a medida;Instrumento;Adaptador;Firmware ;Operador del equipo;Compañía;Contratista;Tipo;Estándar;Ra";"ngo de frequencia;Notas";"de usuario;Largo del cabl";"e;Medidor";de potenc;ia;";Longitúd de on";"da;Diámetro del centro;Potencia de referencia;Potencia recibida;Potencia recibida;Pérdida;DH/RH;Atenuación;Longitúd de onda;Diámetro del centro;Pérdida;Umbral de pérdida;Margen;Longitúd;Longitúd;Límite;Margen;Medida;DH/RH;Pares;Resultado;Freq en Peor Caso;Valor del peor escenario;Límite del peor escenario;Margen del peor escenario;Peor valor absoluto;Peor Frequencia en total;Peor límite en total;Peor margen en total;RESISTENCIA;Límite;7_8;3_6;5_4;1_2;LONGITUD;Límite;7_8;3_6;5_4;1_2;IMPEDANCIA;Límite;7_8;3_6;5_4;1_2;RETARDO DE PROPAGACIÓN;Límite;7_8;3_6;5_4;1_2;DIFERENCIAL DE RETARDO;Límite;7_8;3_6;5_4;1_2;CAPACITANCIA;Límite;7_8;3_6;5_4;1_2;NVP_7_8;NVP_3_6;NVP_5_4;NVP_1_2;ENCABEZAMIENTO;Pin 1;Pin 2;Pin 3;Pin 4;Pin 5;Pin 6;Pin 7;Pin 8;Aislación"
"Cable Categoría 6 U/UTP ;;;;;;;;;;;;;;;;;;;;Atenuación;Display;""1,2"";Pasa;""2,4"";""1,3"";""3,1"";""1,8"";""11,0"";""250,0"";""35,9"";""24,9""";;;;;;;
"Pasa;Bajos-2;16/02/2024;15:07;TIA 568.1-D Cat 6 UTP CH;LANTEK III- [2341074/2341073];""6000, RJ45 CAT 6 CHAN"";3.220;Promax Test&Measurement;Promax";"Test&Measurement;Promax";"Test&Measurement;Twisted";"Pair;TIA";"568.1-D;1";-;"250MHz;General";Cable
"Cable Categoría 6 U/UTP ;;;;;;;;;;;;;;;;;;;;ACR-N;Display;""7,8-3,6"";Pasa;""3,0"";""76,6"";""61,5"";""15,1"";""32,5"";""219,0"";""0,9"";""31,6""";;;;;;;
"Pasa;Bajos-2;16/02/2024;15:07;TIA 568.1-D Cat 6 UTP CH;LANTEK III- [2341074/2341073];""6000, RJ45 CAT 6 CHAN"";3.220;Promax Test&Measurement;Promax";"Test&Measurement;Promax";"Test&Measurement;Twisted";"Pair;TIA";"568.1-D;1";-;"250MHz;General";Cable
"Cable Categoría 6 U/UTP ;;;;;;;;;;;;;;;;;;;;ACR-N;Display;""7,8-5,4"";Pasa;""5,2"";""63,0"";""56,6"";""6,4"";""34,9"";""249,0"";""-2,8"";""37,7""";;;;;;;
"Pasa;Bajos-2;16/02/2024;15:07;TIA 568.1-D Cat 6 UTP CH;LANTEK III- [2341074/2341073];""6000, RJ45 CAT 6 CHAN"";3.220;Promax Test&Measurement;Promax";"Test&Measurement;Promax";"Test&Measurement;Twisted";"Pair;TIA";"568.1-D;1";-;"250MHz;General";Cable
"Cable Categoría 6 U/UTP ;;;;;;;;;;;;;;;;;;;;ACR-N;Display;""7,8-1,2"";Pasa;""3,4"";""78,7"";""60,5"";""18,2"";""31,9"";""237,0"";""-1,3"";""33,2""";;;;;;;
"Pasa;Bajos-2;16/02/2024;15:07;TIA 568.1-D Cat 6 UTP CH;LANTEK III- [2341074/2341073];""6000, RJ45 CAT 6 CHAN"";3.220;Promax Test&Measurement;Promax";"Test&Measurement;Promax";"Test&Measurement;Twisted";"Pair;TIA";"568.1-D;1";-;"250MHz;General";Cable
"Cable Categoría 6 U/UTP ;;;;;;;;;;;;;;;;;;;;ACR-N;Display;""3,6-5,4"";Pasa;""3,6"";""75,4"";""60,1"";""15,3"";""27,4"";""222,0"";""0,5"";""26,9""";;;;;;;
"Pasa;Bajos-2;16/02/2024;15:07;TIA 568.1-D Cat 6 UTP CH;LANTEK III- [2341074/2341073];""6000, RJ45 CAT 6 CHAN"";3.220;Promax Test&Measurement;Promax";"Test&Measurement;Promax";"Test&Measurement;Twisted";"Pair;TIA";"568.1-D;1";-;"250MHz;General";Cable
"Cable Categoría 6 U/UTP ;;;;;;;;;;;;;;;;;;;;ACR-N;Display;""3,6-1,2"";Pasa;""7,5"";""66,4"";""53,2"";""13,2"";""28,5"";""240,0"";""-1,7"";""30,2""";;;;;;;
"Pasa;Bajos-2;16/02/2024;15:07;TIA 568.1-D Cat 6 UTP CH;LANTEK III- [2341074/2341073];""6000, RJ45 CAT 6 CHAN"";3.220;Promax Test&Measurement;Promax";"Test&Measurement;Promax";"Test&Measurement;Twisted";"Pair;TIA";"568.1-D;1";-;"250MHz;General";Cable
"Cable Categoría 6 U/UTP ;;;;;;;;;;;;;;;;;;;;ACR-N;Display;""5,4-1,2"";Pasa;""3,0"";""68,4"";""61,5"";""6,9"";""35,9"";""226,0"";""0,0"";""35,9""";;;;;;;
"Pasa;Bajos-2;16/02/2024;15:07;TIA 568.1-D Cat 6 UTP CH;LANTEK III- [2341074/2341073];""6000, RJ45 CAT 6 CHAN"";3.220;Promax Test&Measurement;Promax";"Test&Measurement;Promax";"Test&Measurement;Twisted";"Pair;TIA";"568.1-D;1";-;"250MHz;General";Cable
"Cable Categoría 6 U/UTP ;;;;;;;;;;;;;;;;;;;;ACR-N;Remoto;""7,8-3,6"";Pasa;""4,6"";""71,3"";""57,8"";""13,5"";""34,5"";""241,0"";""-1,8"";""36,3""";;;;;;;
"Pasa;Bajos-2;16/02/2024;15:07;TIA 568.1-D Cat 6 UTP CH;LANTEK III- [2341074/2341073];""6000, RJ45 CAT 6 CHAN"";3.220;Promax Test&Measurement;Promax";"Test&Measurement;Promax";"Test&Measurement;Twisted";"Pair;TIA";"568.1-D;1";-;"250MHz;General";Cable
"Cable Categoría 6 U/UTP ;;;;;;;;;;;;;;;;;;;;ACR-N;Remoto;""7,8-5,4"";Pasa;""5,2"";""63,1"";""56,6"";""6,5"";""41,6"";""224,0"";""0,2"";""41,4""";;;;;;;
"Pasa;Bajos-2;16/02/2024;15:07;TIA 568.1-D Cat 6 UTP CH;LANTEK III- [2341074/2341073];""6000, RJ45 CAT 6 CHAN"";3.220;Promax Test&Measurement;Promax";"Test&Measurement;Promax";"Test&Measurement;Twisted";"Pair;TIA";"568.1-D;1";-;"250MHz;General";Cable
"Cable Categoría 6 U/UTP ;;;;;;;;;;;;;;;;;;;;ACR-N;Remoto;""7,8-1,2"";Pasa;""2,7"";""81,3"";""61,7"";""19,6"";""40,9"";""219,0"";""0,9"";""40,0""";;;;;;;
"Pasa;Bajos-2;16/02/2024;15:07;TIA 568.1-D Cat 6 UTP CH;LANTEK III- [2341074/2341073];""6000, RJ45 CAT 6 CHAN"";3.220;Promax Test&Measurement;Promax";"Test&Measurement;Promax";"Test&Measurement;Twisted";"Pair;TIA";"568.1-D;1";-;"250MHz;General";Cable
"Cable Categoría 6 U/UTP ;;;;;;;;;;;;;;;;;;;;ACR-N;Remoto;""3,6-5,4"";Pasa;""33,8"";""55,4"";""36,0"";""19,4"";""32,6"";""219,0"";""0,9"";""31,7""";;;;;;;
"Pasa;Bajos-2;16/02/2024;15:07;TIA 568.1-D Cat 6 UTP CH;LANTEK III- [2341074/2341073];""6000, RJ45 CAT 6 CHAN"";3.220;Promax Test&Measurement;Promax";"Test&Measurement;Promax";"Test&Measurement;Twisted";"Pair;TIA";"568.1-D;1";-;"250MHz;General";Cable
"Cable Categoría 6 U/UTP ;;;;;;;;;;;;;;;;;;;;ACR-N;Remoto;""3,6-1,2"";Pasa;""2,8"";""78,0"";""61,6"";""16,4"";""33,7"";""234,0"";""-1,0"";""34,7""";;;;;;;
"Pasa;Bajos-2;16/02/2024;15:07;TIA 568.1-D Cat 6 UTP CH;LANTEK III- [2341074/2341073];""6000, RJ45 CAT 6 CHAN"";3.220;Promax Test&Measurement;Promax";"Test&Measurement;Promax";"Test&Measurement;Twisted";"Pair;TIA";"568.1-D;1";-;"250MHz;General";Cable
"Cable Categoría 6 U/UTP ;;;;;;;;;;;;;;;;;;;;ACR-N;Remoto;""5,4-1,2"";Pasa;""2,5"";""70,4"";""61,8"";""8,6"";""39,9"";""249,0"";""-2,8"";""42,7""";;;;;;;
"Pasa;Bajos-2;16/02/2024;15:07;TIA 568.1-D Cat 6 UTP CH;LANTEK III- [2341074/2341073];""6000, RJ45 CAT 6 CHAN"";3.220;Promax Test&Measurement;Promax";"Test&Measurement;Promax";"Test&Measurement;Twisted";"Pair;TIA";"568.1-D;1";-;"250MHz;General";Cable
"Cable Categoría 6 U/UTP ;;;;;;;;;;;;;;;;;;;;ACR-F;Display;""7,8-3,6"";Pasa;""1,0"";""75,4"";""63,3"";""12,1"";""31,7"";""175,0"";""18,4"";""13,3""";;;;;;;
"Pasa;Bajos-2;16/02/2024;15:07;TIA 568.1-D Cat 6 UTP CH;LANTEK III- [2341074/2341073];""6000, RJ45 CAT 6 CHAN"";3.220;Promax Test&Measurement;Promax";"Test&Measurement;Promax";"Test&Measurement;Twisted";"Pair;TIA";"568.1-D;1";-;"250MHz;General";Cable
"Cable Categoría 6 U/UTP ;;;;;;;;;;;;;;;;;;;;ACR-F;Display;""7,8-5,4"";Pasa;""206,0"";""33,4"";""17,0"";""16,4"";""32,5"";""241,0"";""15,6"";""16,9""";;;;;;;
"Pasa;Bajos-2;16/02/2024;15:07;TIA 568.1-D Cat 6 UTP CH;LANTEK III- [2341074/2341073];""6000, RJ45 CAT 6 CHAN"";3.220;Promax Test&Measurement;Promax";"Test&Measurement;Promax";"Test&Measurement;Twisted";"Pair;TIA";"568.1-D;1";-;"250MHz;General";Cable
"Cable Categoría 6 U/UTP ;;;;;;;;;;;;;;;;;;;;ACR-F;Display;""7,8-1,2"";Pasa;""249,5"";""38,8"";""15,3"";""23,5"";""38,8"";""250,0"";""15,3"";""23,5""";;;;;;;
"Pasa;Bajos-2;16/02/2024;15:07;TIA 568.1-D Cat 6 UTP CH;LANTEK III- [2341074/2341073];""6000, RJ45 CAT 6 CHAN"";3.220;Promax Test&Measurement;Promax";"Test&Measurement;Promax";"Test&Measurement;Twisted";"Pair;TIA";"568.1-D;1";-;"250MHz;General";Cable
"Cable Categoría 6 U/UTP ;;;;;;;;;;;;;;;;;;;;ACR-F;Display;""3,6-7,8"";Pasa;""1,0"";""72,5"";""63,3"";""9,2"";""29,6"";""153,0"";""19,6"";""10,0""";;;;;;;
"Pasa;Bajos-2;16/02/2024;15:07;TIA 568.1-D Cat 6 UTP CH;LANTEK III- [2341074/2341073];""6000, RJ45 CAT 6 CHAN"";3.220;Promax Test&Measurement;Promax";"Test&Measurement;Promax";"Test&Measurement;Twisted";"Pair;TIA";"568.1-D;1";-;"250MHz;General";Cable
"Cable Categoría 6 U/UTP ;;;;;;;;;;;;;;;;;;;;ACR-F;Display;""3,6-5,4"";Pasa;""1,0"";""68,2"";""63,3"";""4,9"";""25,8"";""250,0"";""15,3"";""10,5""";;;;;;;
"Pasa;Bajos-2;16/02/2024;15:07;TIA 568.1-D Cat 6 UTP CH;LANTEK III- [2341074/2341073];""6000, RJ45 CAT 6 CHAN"";3.220;Promax Test&Measurement;Promax";"Test&Measurement;Promax";"Test&Measurement;Twisted";"Pair;TIA";"568.1-D;1";-;"250MHz;General";Cable
"Cable Categoría 6 U/UTP ;;;;;;;;;;;;;;;;;;;;ACR-F;Display;""3,6-1,2"";Pasa;""1,0"";""76,3"";""63,3"";""13,0"";""32,5"";""250,0"";""15,3"";""17,2""";;;;;;;
"Pasa;Bajos-2;16/02/2024;15:07;TIA 568.1-D Cat 6 UTP CH;LANTEK III- [2341074/2341073];""6000, RJ45 CAT 6 CHAN"";3.220;Promax Test&Measurement;Promax";"Test&Measurement;Promax";"Test&Measurement;Twisted";"Pair;TIA";"568.1-D;1";-;"250MHz;General";Cable
"Cable Categoría 6 U/UTP ;;;;;;;;;;;;;;;;;;;;ACR-F;Display;""5,4-7,8"";Pasa;""206,0"";""31,6"";""17,0"";""14,6"";""31,4"";""214,0"";""16,6"";""14,8""";;;;;;;
"Pasa;Bajos-2;16/02/2024;15:07;TIA 568.1-D Cat 6 UTP CH;LANTEK III- [2341074/2341073];""6000, RJ45 CAT 6 CHAN"";3.220;Promax Test&Measurement;Promax";"Test&Measurement;Promax";"Test&Measurement;Twisted";"Pair;TIA";"568.1-D;1";-;"250MHz;General";Cable
"Cable Categoría 6 U/UTP ;;;;;;;;;;;;;;;;;;;;ACR-F;Display;""5,4-3,6"";Pasa;""1,0"";""67,2"";""63,3"";""3,9"";""23,1"";""249,5"";""15,3"";""7,8""";;;;;;;
"Pasa;Bajos-2;16/02/2024;15:07;TIA 568.1-D Cat 6 UTP CH;LANTEK III- [2341074/2341073];""6000, RJ45 CAT 6 CHAN"";3.220;Promax Test&Measurement;Promax";"Test&Measurement;Promax";"Test&Measurement;Twisted";"Pair;TIA";"568.1-D;1";-;"250MHz;General";Cable
"Cable Categoría 6 U/UTP ;;;;;;;;;;;;;;;;;;;;ACR-F;Display;""5,4-1,2"";Pasa;""136,0"";""40,6"";""20,6"";""20,0"";""38,4"";""250,0"";""15,3"";""23,1""";;;;;;;
"Pasa;Bajos-2;16/02/2024;15:07;TIA 568.1-D Cat 6 UTP CH;LANTEK III- [2341074/2341073];""6000, RJ45 CAT 6 CHAN"";3.220;Promax Test&Measurement;Promax";"Test&Measurement;Promax";"Test&Measurement;Twisted";"Pair;TIA";"568.1-D;1";-;"250MHz;General";Cable
"Cable Categoría 6 U/UTP ;;;;;;;;;;;;;;;;;;;;ACR-F;Display;""1,2-7,8"";Pasa;""242,5"";""34,0"";""15,6"";""18,4"";""34,0"";""243,0"";""15,5"";""18,5""";;;;;;;
"Pasa;Bajos-2;16/02/2024;15:07;TIA 568.1-D Cat 6 UTP CH;LANTEK III- [2341074/2341073];""6000, RJ45 CAT 6 CHAN"";3.220;Promax Test&Measurement;Promax";"Test&Measurement;Promax";"Test&Measurement;Twisted";"Pair;TIA";"568.1-D;1";-;"250MHz;General";Cable
"Cable Categoría 6 U/UTP ;;;;;;;;;;;;;;;;;;;;ACR-F;Display;""1,2-3,6"";Pasa;""1,0"";""73,5"";""63,3"";""10,2"";""31,0"";""240,5"";""15,6"";""15,4""";;;;;;;
"Pasa;Bajos-2;16/02/2024;15:07;TIA 568.1-D Cat 6 UTP CH;LANTEK III- [2341074/2341073];""6000, RJ45 CAT 6 CHAN"";3.220;Promax Test&Measurement;Promax";"Test&Measurement;Promax";"Test&Measurement;Twisted";"Pair;TIA";"568.1-D;1";-;"250MHz;General";Cable
"Cable Categoría 6 U/UTP ;;;;;;;;;;;;;;;;;;;;ACR-F;Display;""1,2-5,4"";Pasa;""1,8"";""77,5"";""58,4"";""19,1"";""38,4"";""250,0"";""15,3"";""23,1""";;;;;;;
"Pasa;Bajos-2;16/02/2024;15:07;TIA 568.1-D Cat 6 UTP CH;LANTEK III- [2341074/2341073];""6000, RJ45 CAT 6 CHAN"";3.220;Promax Test&Measurement;Promax";"Test&Measurement;Promax";"Test&Measurement;Twisted";"Pair;TIA";"568.1-D;1";-;"250MHz;General";Cable
"Cable Categoría 6 U/UTP ;;;;;;;;;;;;;;;;;;;;ACR-F;Remoto;""7,8-3,6"";Pasa;""1,0"";""72,5"";""63,3"";""9,2"";""29,6"";""153,0"";""19,6"";""10,0""";;;;;;;
"Pasa;Bajos-2;16/02/2024;15:07;TIA 568.1-D Cat 6 UTP CH;LANTEK III- [2341074/2341073];""6000, RJ45 CAT 6 CHAN"";3.220;Promax Test&Measurement;Promax";"Test&Measurement;Promax";"Test&Measurement;Twisted";"Pair;TIA";"568.1-D;1";-;"250MHz;General";Cable
"Cable Categoría 6 U/UTP ;;;;;;;;;;;;;;;;;;;;ACR-F;Remoto;""7,8-5,4"";Pasa;""206,0"";""31,6"";""17,0"";""14,6"";""31,4"";""214,0"";""16,6"";""14,8""";;;;;;;
"Pasa;Bajos-2;16/02/2024;15:07;TIA 568.1-D Cat 6 UTP CH;LANTEK III- [2341074/2341073];""6000, RJ45 CAT 6 CHAN"";3.220;Promax Test&Measurement;Promax";"Test&Measurement;Promax";"Test&Measurement;Twisted";"Pair;TIA";"568.1-D;1";-;"250MHz;General";Cable
"Cable Categoría 6 U/UTP ;;;;;;;;;;;;;;;;;;;;ACR-F;Remoto;""7,8-1,2"";Pasa;""242,5"";""34,0"";""15,6"";""18,4"";""34,0"";""243,0"";""15,5"";""18,5""";;;;;;;
"Pasa;Bajos-2;16/02/2024;15:07;TIA 568.1-D Cat 6 UTP CH;LANTEK III- [2341074/2341073];""6000, RJ45 CAT 6 CHAN"";3.220;Promax Test&Measurement;Promax";"Test&Measurement;Promax";"Test&Measurement;Twisted";"Pair;TIA";"568.1-D;1";-;"250MHz;General";Cable
"Cable Categoría 6 U/UTP ;;;;;;;;;;;;;;;;;;;;ACR-F;Remoto;""3,6-7,8"";Pasa;""1,0"";""75,4"";""63,3"";""12,1"";""31,7"";""175,0"";""18,4"";""13,3""";;;;;;;
"Pasa;Bajos-2;16/02/2024;15:07;TIA 568.1-D Cat 6 UTP CH;LANTEK III- [2341074/2341073];""6000, RJ45 CAT 6 CHAN"";3.220;Promax Test&Measurement;Promax";"Test&Measurement;Promax";"Test&Measurement;Twisted";"Pair;TIA";"568.1-D;1";-;"250MHz;General";Cable
"Cable Categoría 6 U/UTP ;;;;;;;;;;;;;;;;;;;;ACR-F;Remoto;""3,6-5,4"";Pasa;""1,0"";""67,2"";""63,3"";""3,9"";""23,1"";""249,5"";""15,3"";""7,8""";;;;;;;
"Pasa;Bajos-2;16/02/2024;15:07;TIA 568.1-D Cat 6 UTP CH;LANTEK III- [2341074/2341073];""6000, RJ45 CAT 6 CHAN"";3.220;Promax Test&Measurement;Promax";"Test&Measurement;Promax";"Test&Measurement;Twisted";"Pair;TIA";"568.1-D;1";-;"250MHz;General";Cable
"Cable Categoría 6 U/UTP ;;;;;;;;;;;;;;;;;;;;ACR-F;Remoto;""3,6-1,2"";Pasa;""1,0"";""73,5"";""63,3"";""10,2"";""31,0"";""240,5"";""15,6"";""15,4""";;;;;;;
"Pasa;Bajos-2;16/02/2024;15:07;TIA 568.1-D Cat 6 UTP CH;LANTEK III- [2341074/2341073];""6000, RJ45 CAT 6 CHAN"";3.220;Promax Test&Measurement;Promax";"Test&Measurement;Promax";"Test&Measurement;Twisted";"Pair;TIA";"568.1-D;1";-;"250MHz;General";Cable
"Cable Categoría 6 U/UTP ;;;;;;;;;;;;;;;;;;;;ACR-F;Remoto;""5,4-7,8"";Pasa;""206,0"";""33,4"";""17,0"";""16,4"";""32,5"";""241,0"";""15,6"";""16,9""";;;;;;;
"Pasa;Bajos-2;16/02/2024;15:07;TIA 568.1-D Cat 6 UTP CH;LANTEK III- [2341074/2341073];""6000, RJ45 CAT 6 CHAN"";3.220;Promax Test&Measurement;Promax";"Test&Measurement;Promax";"Test&Measurement;Twisted";"Pair;TIA";"568.1-D;1";-;"250MHz;General";Cable
"Cable Categoría 6 U/UTP ;;;;;;;;;;;;;;;;;;;;ACR-F;Remoto;""5,4-3,6"";Pasa;""1,0"";""68,2"";""63,3"";""4,9"";""25,8"";""250,0"";""15,3"";""10,5""";;;;;;;
"Pasa;Bajos-2;16/02/2024;15:07;TIA 568.1-D Cat 6 UTP CH;LANTEK III- [2341074/2341073];""6000, RJ45 CAT 6 CHAN"";3.220;Promax Test&Measurement;Promax";"Test&Measurement;Promax";"Test&Measurement;Twisted";"Pair;TIA";"568.1-D;1";-;"250MHz;General";Cable
"Cable Categoría 6 U/UTP ;;;;;;;;;;;;;;;;;;;;ACR-F;Remoto;""5,4-1,2"";Pasa;""1,8"";""77,5"";""58,4"";""19,1"";""38,4"";""250,0"";""15,3"";""23,1""";;;;;;;
"Pasa;Bajos-2;16/02/2024;15:07;TIA 568.1-D Cat 6 UTP CH;LANTEK III- [2341074/2341073];""6000, RJ45 CAT 6 CHAN"";3.220;Promax Test&Measurement;Promax";"Test&Measurement;Promax";"Test&Measurement;Twisted";"Pair;TIA";"568.1-D;1";-;"250MHz;General";Cable
"Cable Categoría 6 U/UTP ;;;;;;;;;;;;;;;;;;;;ACR-F;Remoto;""1,2-7,8"";Pasa;""249,5"";""38,8"";""15,3"";""23,5"";""38,8"";""250,0"";""15,3"";""23,5""";;;;;;;
"Pasa;Bajos-2;16/02/2024;15:07;TIA 568.1-D Cat 6 UTP CH;LANTEK III- [2341074/2341073];""6000, RJ45 CAT 6 CHAN"";3.220;Promax Test&Measurement;Promax";"Test&Measurement;Promax";"Test&Measurement;Twisted";"Pair;TIA";"568.1-D;1";-;"250MHz;General";Cable
"Cable Categoría 6 U/UTP ;;;;;;;;;;;;;;;;;;;;ACR-F;Remoto;""1,2-3,6"";Pasa;""1,0"";""76,3"";""63,3"";""13,0"";""32,5"";""250,0"";""15,3"";""17,2""";;;;;;;
"Pasa;Bajos-2;16/02/2024;15:07;TIA 568.1-D Cat 6 UTP CH;LANTEK III- [2341074/2341073];""6000, RJ45 CAT 6 CHAN"";3.220;Promax Test&Measurement;Promax";"Test&Measurement;Promax";"Test&Measurement;Twisted";"Pair;TIA";"568.1-D;1";-;"250MHz;General";Cable
"Cable Categoría 6 U/UTP ;;;;;;;;;;;;;;;;;;;;ACR-F;Remoto;""1,2-5,4"";Pasa;""136,0"";""40,6"";""20,6"";""20,0"";""38,4"";""250,0"";""15,3"";""23,1""";;;;;;;
"Pasa;Bajos-2;16/02/2024;15:07;TIA 568.1-D Cat 6 UTP CH;LANTEK III- [2341074/2341073];""6000, RJ45 CAT 6 CHAN"";3.220;Promax Test&Measurement;Promax";"Test&Measurement;Promax";"Test&Measurement;Twisted";"Pair;TIA";"568.1-D;1";-;"250MHz;General";Cable
"Cable Categoría 6 U/UTP ;;;;;;;;;;;;;;;;;;;;PS NEXT;Display;""7,8"";Pasa;""5,2"";""64,5"";""58,7"";""5,8"";""41,2"";""238,0"";""30,5"";""10,7""";;;;;;;
"Pasa;Bajos-2;16/02/2024;15:07;TIA 568.1-D Cat 6 UTP CH;LANTEK III- [2341074/2341073];""6000, RJ45 CAT 6 CHAN"";3.220;Promax Test&Measurement;Promax";"Test&Measurement;Promax";"Test&Measurement;Twisted";"Pair;TIA";"568.1-D;1";-;"250MHz;General";Cable
"Cable Categoría 6 U/UTP ;;;;;;;;;;;;;;;;;;;;PS NEXT;Display;""3,6"";Pasa;""154,0"";""39,5"";""33,8"";""5,7"";""37,1"";""221,0"";""31,1"";""6,0""";;;;;;;
"Pasa;Bajos-2;16/02/2024;15:07;TIA 568.1-D Cat 6 UTP CH;LANTEK III- [2341074/2341073];""6000, RJ45 CAT 6 CHAN"";3.220;Promax Test&Measurement;Promax";"Test&Measurement;Promax";"Test&Measurement;Twisted";"Pair;TIA";"568.1-D;1";-;"250MHz;General";Cable
"Cable Categoría 6 U/UTP ;;;;;;;;;;;;;;;;;;;;PS NEXT;Display;""5,4"";Pasa;""5,4"";""62,5"";""58,5"";""4,0"";""38,6"";""224,0"";""31,0"";""7,6""";;;;;;;
"Pasa;Bajos-2;16/02/2024;15:07;TIA 568.1-D Cat 6 UTP CH;LANTEK III- [2341074/2341073];""6000, RJ45 CAT 6 CHAN"";3.220;Promax Test&Measurement;Promax";"Test&Measurement;Promax";"Test&Measurement;Twisted";"Pair;TIA";"568.1-D;1";-;"250MHz;General";Cable
"Cable Categoría 6 U/UTP ;;;;;;;;;;;;;;;;;;;;PS NEXT;Display;""1,2"";Pasa;""8,1"";""62,3"";""55,6"";""6,7"";""38,4"";""237,0"";""30,6"";""7,8""";;;;;;;
"Pasa;Bajos-2;16/02/2024;15:07;TIA 568.1-D Cat 6 UTP CH;LANTEK III- [2341074/2341073];""6000, RJ45 CAT 6 CHAN"";3.220;Promax Test&Measurement;Promax";"Test&Measurement;Promax";"Test&Measurement;Twisted";"Pair;TIA";"568.1-D;1";-;"250MHz;General";Cable
"Cable Categoría 6 U/UTP ;;;;;;;;;;;;;;;;;;;;PS NEXT;Remoto;""7,8"";Pasa;""5,2"";""64,2"";""58,7"";""5,5"";""46,0"";""241,0"";""30,4"";""15,6""";;;;;;;
"Pasa;Bajos-2;16/02/2024;15:07;TIA 568.1-D Cat 6 UTP CH;LANTEK III- [2341074/2341073];""6000, RJ45 CAT 6 CHAN"";3.220;Promax Test&Measurement;Promax";"Test&Measurement;Promax";"Test&Measurement;Twisted";"Pair;TIA";"568.1-D;1";-;"250MHz;General";Cable
"Cable Categoría 6 U/UTP ;;;;;;;;;;;;;;;;;;;;PS NEXT;Remoto;""3,6"";Pasa;""157,0"";""43,5"";""33,7"";""9,8"";""43,1"";""216,0"";""31,3"";""11,8""";;;;;;;
"Pasa;Bajos-2;16/02/2024;15:07;TIA 568.1-D Cat 6 UTP CH;LANTEK III- [2341074/2341073];""6000, RJ45 CAT 6 CHAN"";3.220;Promax Test&Measurement;Promax";"Test&Measurement;Promax";"Test&Measurement;Twisted";"Pair;TIA";"568.1-D;1";-;"250MHz;General";Cable
"Cable Categoría 6 U/UTP ;;;;;;;;;;;;;;;;;;;;PS NEXT;Remoto;""5,4"";Pasa;""5,2"";""63,2"";""58,7"";""4,5"";""44,4"";""219,0"";""31,2"";""13,2""";;;;;;;
"Pasa;Bajos-2;16/02/2024;15:07;TIA 568.1-D Cat 6 UTP CH;LANTEK III- [2341074/2341073];""6000, RJ45 CAT 6 CHAN"";3.220;Promax Test&Measurement;Promax";"Test&Measurement;Promax";"Test&Measurement;Twisted";"Pair;TIA";"568.1-D;1";-;"250MHz;General";Cable
"Cable Categoría 6 U/UTP ;;;;;;;;;;;;;;;;;;;;PS NEXT;Remoto;""1,2"";Pasa;""10,3"";""61,9"";""53,8"";""8,1"";""44,8"";""234,0"";""30,7"";""14,1""";;;;;;;
"Pasa;Bajos-2;16/02/2024;15:07;TIA 568.1-D Cat 6 UTP CH;LANTEK III- [2341074/2341073];""6000, RJ45 CAT 6 CHAN"";3.220;Promax Test&Measurement;Promax";"Test&Measurement;Promax";"Test&Measurement;Twisted";"Pair;TIA";"568.1-D;1";-;"250MHz;General";Cable
"Cable Categoría 6 U/UTP ;;;;;;;;;;;;;;;;;;;;PS ACR-N;Display;""7,8"";Pasa;""5,2"";""62,7"";""54,1"";""8,6"";""30,0"";""238,0"";""-4,4"";""34,4""";;;;;;;
"Pasa;Bajos-2;16/02/2024;15:07;TIA 568.1-D Cat 6 UTP CH;LANTEK III- [2341074/2341073];""6000, RJ45 CAT 6 CHAN"";3.220;Promax Test&Measurement;Promax";"Test&Measurement;Promax";"Test&Measurement;Twisted";"Pair;TIA";"568.1-D;1";-;"250MHz;General";Cable
"Cable Categoría 6 U/UTP ;;;;;;;;;;;;;;;;;;;;PS ACR-N;Display;""3,6"";Pasa;""3,3"";""71,5"";""58,4"";""13,1"";""25,2"";""221,0"";""-2,3"";""27,5""";;;;;;;
"Pasa;Bajos-2;16/02/2024;15:07;TIA 568.1-D Cat 6 UTP CH;LANTEK III- [2341074/2341073];""6000, RJ45 CAT 6 CHAN"";3.220;Promax Test&Measurement;Promax";"Test&Measurement;Promax";"Test&Measurement;Twisted";"Pair;TIA";"568.1-D;1";-;"250MHz;General";Cable
"Cable Categoría 6 U/UTP ;;;;;;;;;;;;;;;;;;;;PS ACR-N;Display;""5,4"";Pasa;""5,4"";""60,6"";""53,9"";""6,7"";""27,4"";""224,0"";""-2,7"";""30,1""";;;;;;;
"Pasa;Bajos-2;16/02/2024;15:07;TIA 568.1-D Cat 6 UTP CH;LANTEK III- [2341074/2341073];""6000, RJ45 CAT 6 CHAN"";3.220;Promax Test&Measurement;Promax";"Test&Measurement;Promax";"Test&Measurement;Twisted";"Pair;TIA";"568.1-D;1";-;"250MHz;General";Cable
